Loading sequences.
Calculating pairwise edit distance.
0 / 703 > 4265 | aardvark | armadillo
1 / 703 > 4925 | aardvark | baboon
2 / 703 > 4947 | aardvark | blueWhale
3 / 703 > 5248 | aardvark | cat
4 / 703 > 4749 | aardvark | chimpanzee
5 / 703 > 4814 | aardvark | cow
6 / 703 > 4236 | aardvark | dog
7 / 703 > 4044 | aardvark | donkey
8 / 703 > 4328 | aardvark | elephant
9 / 703 > 4468 | aardvark | fatDormouse
10 / 703 > 4980 | aardvark | finWhale
11 / 703 > 4203 | aardvark | fruitBat
12 / 703 > 4809 | aardvark | gibbon
13 / 703 > 4815 | aardvark | gorilla
14 / 703 > 5337 | aardvark | graySeal
15 / 703 > 4556 | aardvark | guineaPig
16 / 703 > 5358 | aardvark | harborSeal
17 / 703 > 4263 | aardvark | hippopotamus
18 / 703 > 4112 | aardvark | horse
19 / 703 > 5492 | aardvark | human
20 / 703 > 4014 | aardvark | indianRhinoceros
21 / 703 > 4525 | aardvark | mouse
22 / 703 > 4920 | aardvark | opossum
23 / 703 > 4906 | aardvark | orangutan
24 / 703 > 4015 | aardvark | pig
25 / 703 > 4715 | aardvark | pigmyChimpanzee
26 / 703 > 5069 | aardvark | platypus
27 / 703 > 4415 | aardvark | rabbit
28 / 703 > 8932 | aardvark | randgen0
29 / 703 > 8940 | aardvark | randgen1
30 / 703 > 8979 | aardvark | randgen2
31 / 703 > 8962 | aardvark | randgen3
32 / 703 > 4582 | aardvark | rat
33 / 703 > 4252 | aardvark | sheep
34 / 703 > 4406 | aardvark | squirrel
35 / 703 > 4918 | aardvark | wallaroo
36 / 703 > 3995 | aardvark | whiteRhinoceros
37 / 703 > 5045 | armadillo | baboon
38 / 703 > 5136 | armadillo | blueWhale
39 / 703 > 5428 | armadillo | cat
40 / 703 > 4763 | armadillo | chimpanzee
41 / 703 > 4964 | armadillo | cow
42 / 703 > 4511 | armadillo | dog
43 / 703 > 4241 | armadillo | donkey
44 / 703 > 4658 | armadillo | elephant
45 / 703 > 4658 | armadillo | fatDormouse
46 / 703 > 5158 | armadillo | finWhale
47 / 703 > 4529 | armadillo | fruitBat
48 / 703 > 4894 | armadillo | gibbon
49 / 703 > 4923 | armadillo | gorilla
50 / 703 > 5513 | armadillo | graySeal
51 / 703 > 4768 | armadillo | guineaPig
52 / 703 > 5521 | armadillo | harborSeal
53 / 703 > 4455 | armadillo | hippopotamus
54 / 703 > 4262 | armadillo | horse
55 / 703 > 5623 | armadillo | human
56 / 703 > 4167 | armadillo | indianRhinoceros
57 / 703 > 4714 | armadillo | mouse
58 / 703 > 4919 | armadillo | opossum
59 / 703 > 5040 | armadillo | orangutan
60 / 703 > 4121 | armadillo | pig
61 / 703 > 4785 | armadillo | pigmyChimpanzee
62 / 703 > 5186 | armadillo | platypus
63 / 703 > 4475 | armadillo | rabbit
64 / 703 > 8993 | armadillo | randgen0
65 / 703 > 9036 | armadillo | randgen1
66 / 703 > 9033 | armadillo | randgen2
67 / 703 > 9031 | armadillo | randgen3
68 / 703 > 4715 | armadillo | rat
69 / 703 > 4317 | armadillo | sheep
70 / 703 > 4528 | armadillo | squirrel
71 / 703 > 4953 | armadillo | wallaroo
72 / 703 > 4122 | armadillo | whiteRhinoceros
73 / 703 > 5090 | baboon | blueWhale
74 / 703 > 5554 | baboon | cat
75 / 703 > 3472 | baboon | chimpanzee
