Loading sequences.
Calculating pairwise hamming.
0 / 703 > 5775 | aardvark | armadillo
1 / 703 > 5486 | aardvark | baboon
2 / 703 > 4695 | aardvark | blueWhale
3 / 703 > 4726 | aardvark | cat
4 / 703 > 4694 | aardvark | chimpanzee
5 / 703 > 6238 | aardvark | cow
6 / 703 > 5553 | aardvark | dog
7 / 703 > 5978 | aardvark | donkey
8 / 703 > 5199 | aardvark | elephant
9 / 703 > 5526 | aardvark | fatDormouse
10 / 703 > 4680 | aardvark | finWhale
11 / 703 > 5126 | aardvark | fruitBat
12 / 703 > 4696 | aardvark | gibbon
13 / 703 > 5344 | aardvark | gorilla
14 / 703 > 4648 | aardvark | graySeal
15 / 703 > 4746 | aardvark | guineaPig
16 / 703 > 4636 | aardvark | harborSeal
17 / 703 > 5724 | aardvark | hippopotamus
18 / 703 > 6446 | aardvark | horse
19 / 703 > 4619 | aardvark | human
20 / 703 > 6258 | aardvark | indianRhinoceros
21 / 703 > 5030 | aardvark | mouse
22 / 703 > 5629 | aardvark | opossum
23 / 703 > 5387 | aardvark | orangutan
24 / 703 > 5638 | aardvark | pig
25 / 703 > 4662 | aardvark | pigmyChimpanzee
26 / 703 > 5597 | aardvark | platypus
27 / 703 > 6673 | aardvark | rabbit
28 / 703 > 4354 | aardvark | randgen0
29 / 703 > 4394 | aardvark | randgen1
30 / 703 > 4317 | aardvark | randgen2
31 / 703 > 4356 | aardvark | randgen3
32 / 703 > 4781 | aardvark | rat
33 / 703 > 5572 | aardvark | sheep
34 / 703 > 5437 | aardvark | squirrel
35 / 703 > 5562 | aardvark | wallaroo
36 / 703 > 6338 | aardvark | whiteRhinoceros
37 / 703 > 4960 | armadillo | baboon
38 / 703 > 6334 | armadillo | blueWhale
39 / 703 > 4757 | armadillo | cat
40 / 703 > 4718 | armadillo | chimpanzee
41 / 703 > 5443 | armadillo | cow
42 / 703 > 5871 | armadillo | dog
43 / 703 > 6724 | armadillo | donkey
44 / 703 > 4789 | armadillo | elephant
45 / 703 > 4868 | armadillo | fatDormouse
46 / 703 > 6346 | armadillo | finWhale
47 / 703 > 4687 | armadillo | fruitBat
48 / 703 > 4632 | armadillo | gibbon
49 / 703 > 4591 | armadillo | gorilla
50 / 703 > 4706 | armadillo | graySeal
51 / 703 > 4746 | armadillo | guineaPig
52 / 703 > 4736 | armadillo | harborSeal
53 / 703 > 5230 | armadillo | hippopotamus
54 / 703 > 6869 | armadillo | horse
55 / 703 > 4657 | armadillo | human
56 / 703 > 7060 | armadillo | indianRhinoceros
57 / 703 > 4789 | armadillo | mouse
58 / 703 > 5631 | armadillo | opossum
59 / 703 > 5395 | armadillo | orangutan
60 / 703 > 4782 | armadillo | pig
61 / 703 > 4717 | armadillo | pigmyChimpanzee
62 / 703 > 5216 | armadillo | platypus
63 / 703 > 6704 | armadillo | rabbit
64 / 703 > 4391 | armadillo | randgen0
65 / 703 > 4344 | armadillo | randgen1
66 / 703 > 4402 | armadillo | randgen2
67 / 703 > 4353 | armadillo | randgen3
68 / 703 > 4607 | armadillo | rat
69 / 703 > 4818 | armadillo | sheep
70 / 703 > 4669 | armadillo | squirrel
71 / 703 > 5551 | armadillo | wallaroo
72 / 703 > 6530 | armadillo | whiteRhinoceros
73 / 703 > 4584 | baboon | blueWhale
74 / 703 > 4635 | baboon | cat
75 / 703 > 5045 | baboon | chimpanzee
76 / 703 > 4742 | baboon | cow
77 / 703 > 6107 | baboon | dog
78 / 703 > 5420 | baboon | donkey
79 / 703 > 5378 | baboon | elephant
80 / 703 > 5446 | baboon | fatDormouse
81 / 703 > 4645 | baboon | finWhale
82 / 703 > 5088 | baboon | fruitBat
83 / 703 > 4766 | baboon | gibbon
84 / 703 > 4967 | baboon | gorilla
85 / 703 > 4616 | baboon | graySeal
86 / 703 > 4814 | baboon | guineaPig
87 / 703 > 4641 | baboon | harborSeal
88 / 703 > 6338 | baboon | hippopotamus
89 / 703 > 5390 | baboon | horse
90 / 703 > 4610 | baboon | human
91 / 703 > 6268 | baboon | indianRhinoceros
92 / 703 > 5096 | baboon | mouse
93 / 703 > 5593 | baboon | opossum
94 / 703 > 6339 | baboon | orangutan
95 / 703 > 5623 | baboon | pig
96 / 703 > 5131 | baboon | pigmyChimpanzee
97 / 703 > 5323 | baboon | platypus
98 / 703 > 5743 | baboon | rabbit
99 / 703 > 4301 | baboon | randgen0
100 / 703 > 4301 | baboon | randgen1
101 / 703 > 4291 | baboon | randgen2
102 / 703 > 4297 | baboon | randgen3
103 / 703 > 4754 | baboon | rat
104 / 703 > 5377 | baboon | sheep
105 / 703 > 5447 | baboon | squirrel
106 / 703 > 5732 | baboon | wallaroo
107 / 703 > 6198 | baboon | whiteRhinoceros
108 / 703 > 6256 | blueWhale | cat
109 / 703 > 4632 | blueWhale | chimpanzee
110 / 703 > 4635 | blueWhale | cow
111 / 703 > 4611 | blueWhale | dog
112 / 703 > 4712 | blueWhale | donkey
113 / 703 > 4660 | blueWhale | elephant
114 / 703 > 4701 | blueWhale | fatDormouse
115 / 703 > 13733 | blueWhale | finWhale
116 / 703 > 4577 | blueWhale | fruitBat
117 / 703 > 4604 | blueWhale | gibbon
118 / 703 > 4558 | blueWhale | gorilla
119 / 703 > 4707 | blueWhale | graySeal
120 / 703 > 4599 | blueWhale | guineaPig
121 / 703 > 4821 | blueWhale | harborSeal
122 / 703 > 4541 | blueWhale | hippopotamus
123 / 703 > 4687 | blueWhale | horse
124 / 703 > 5470 | blueWhale | human
125 / 703 > 4678 | blueWhale | indianRhinoceros
126 / 703 > 4641 | blueWhale | mouse
127 / 703 > 4661 | blueWhale | opossum
128 / 703 > 4569 | blueWhale | orangutan
129 / 703 > 4683 | blueWhale | pig
130 / 703 > 4592 | blueWhale | pigmyChimpanzee
131 / 703 > 4637 | blueWhale | platypus
132 / 703 > 4622 | blueWhale | rabbit
133 / 703 > 4275 | blueWhale | randgen0
134 / 703 > 4288 | blueWhale | randgen1
135 / 703 > 4257 | blueWhale | randgen2
136 / 703 > 4266 | blueWhale | randgen3
137 / 703 > 4595 | blueWhale | rat
138 / 703 > 4706 | blueWhale | sheep
139 / 703 > 4618 | blueWhale | squirrel
140 / 703 > 4681 | blueWhale | wallaroo
141 / 703 > 4626 | blueWhale | whiteRhinoceros
142 / 703 > 4642 | cat | chimpanzee
143 / 703 > 4581 | cat | cow
144 / 703 > 4626 | cat | dog
145 / 703 > 4676 | cat | donkey
146 / 703 > 4731 | cat | elephant
147 / 703 > 4643 | cat | fatDormouse
148 / 703 > 4564 | cat | finWhale
149 / 703 > 4651 | cat | fruitBat
150 / 703 > 4563 | cat | gibbon
151 / 703 > 4535 | cat | gorilla
152 / 703 > 6875 | cat | graySeal
153 / 703 > 4681 | cat | guineaPig
154 / 703 > 7161 | cat | harborSeal
155 / 703 > 4552 | cat | hippopotamus
156 / 703 > 4611 | cat | horse
157 / 703 > 4621 | cat | human
158 / 703 > 4684 | cat | indianRhinoceros
159 / 703 > 4570 | cat | mouse
160 / 703 > 4791 | cat | opossum
161 / 703 > 4530 | cat | orangutan
162 / 703 > 4669 | cat | pig
163 / 703 > 4599 | cat | pigmyChimpanzee
164 / 703 > 4648 | cat | platypus
165 / 703 > 4742 | cat | rabbit
166 / 703 > 4360 | cat | randgen0
167 / 703 > 4348 | cat | randgen1
168 / 703 > 4322 | cat | randgen2
169 / 703 > 4412 | cat | randgen3
170 / 703 > 4559 | cat | rat
171 / 703 > 4700 | cat | sheep
172 / 703 > 4607 | cat | squirrel
173 / 703 > 4707 | cat | wallaroo
174 / 703 > 4674 | cat | whiteRhinoceros
175 / 703 > 4637 | chimpanzee | cow
176 / 703 > 5961 | chimpanzee | dog
177 / 703 > 5523 | chimpanzee | donkey
178 / 703 > 5278 | chimpanzee | elephant
179 / 703 > 5447 | chimpanzee | fatDormouse
180 / 703 > 4575 | chimpanzee | finWhale
181 / 703 > 5508 | chimpanzee | fruitBat
182 / 703 > 8081 | chimpanzee | gibbon
183 / 703 > 10838 | chimpanzee | gorilla
184 / 703 > 4628 | chimpanzee | graySeal
185 / 703 > 5302 | chimpanzee | guineaPig
186 / 703 > 4673 | chimpanzee | harborSeal
187 / 703 > 5784 | chimpanzee | hippopotamus
188 / 703 > 5595 | chimpanzee | horse
189 / 703 > 4591 | chimpanzee | human
190 / 703 > 6282 | chimpanzee | indianRhinoceros
191 / 703 > 5494 | chimpanzee | mouse
192 / 703 > 5523 | chimpanzee | opossum
193 / 703 > 6810 | chimpanzee | orangutan
194 / 703 > 5686 | chimpanzee | pig
195 / 703 > 5109 | chimpanzee | pigmyChimpanzee
196 / 703 > 5353 | chimpanzee | platypus
197 / 703 > 5659 | chimpanzee | rabbit
198 / 703 > 4300 | chimpanzee | randgen0
199 / 703 > 4312 | chimpanzee | randgen1
200 / 703 > 4310 | chimpanzee | randgen2
201 / 703 > 4294 | chimpanzee | randgen3
202 / 703 > 5433 | chimpanzee | rat
203 / 703 > 5320 | chimpanzee | sheep
204 / 703 > 5458 | chimpanzee | squirrel
205 / 703 > 5762 | chimpanzee | wallaroo
206 / 703 > 6236 | chimpanzee | whiteRhinoceros
207 / 703 > 4623 | cow | dog
208 / 703 > 4595 | cow | donkey
209 / 703 > 4697 | cow | elephant
210 / 703 > 4611 | cow | fatDormouse
211 / 703 > 4671 | cow | finWhale
212 / 703 > 4627 | cow | fruitBat
213 / 703 > 4621 | cow | gibbon
214 / 703 > 4584 | cow | gorilla
215 / 703 > 4773 | cow | graySeal
216 / 703 > 4590 | cow | guineaPig
217 / 703 > 4629 | cow | harborSeal
218 / 703 > 4647 | cow | hippopotamus
219 / 703 > 4620 | cow | horse
220 / 703 > 5340 | cow | human
221 / 703 > 4704 | cow | indianRhinoceros
222 / 703 > 4564 | cow | mouse
223 / 703 > 4695 | cow | opossum
224 / 703 > 4612 | cow | orangutan
225 / 703 > 4652 | cow | pig
226 / 703 > 4648 | cow | pigmyChimpanzee
227 / 703 > 4642 | cow | platypus
228 / 703 > 4602 | cow | rabbit
229 / 703 > 4265 | cow | randgen0
230 / 703 > 4224 | cow | randgen1
231 / 703 > 4242 | cow | randgen2
232 / 703 > 4262 | cow | randgen3
233 / 703 > 4578 | cow | rat
234 / 703 > 4645 | cow | sheep
235 / 703 > 4656 | cow | squirrel
236 / 703 > 4662 | cow | wallaroo
237 / 703 > 4666 | cow | whiteRhinoceros
238 / 703 > 6451 | dog | donkey
239 / 703 > 4916 | dog | elephant
240 / 703 > 4689 | dog | fatDormouse
241 / 703 > 4571 | dog | finWhale
242 / 703 > 4803 | dog | fruitBat
243 / 703 > 4849 | dog | gibbon
244 / 703 > 4580 | dog | gorilla
245 / 703 > 4607 | dog | graySeal
246 / 703 > 4768 | dog | guineaPig
247 / 703 > 4594 | dog | harborSeal
248 / 703 > 5396 | dog | hippopotamus
249 / 703 > 6367 | dog | horse
250 / 703 > 4582 | dog | human
